revenuedate,totalrevenue
2020-09-11 00:00:00.000000,28680.1451
2020-09-12 00:00:00.000000,18807.1404
2020-09-13 00:00:00.000000,14280.2999
2020-09-14 00:00:00.000000,16513.1875
2020-09-15 00:00:00.000000,18567.2498
2020-09-16 00:00:00.000000,16097.0087
2020-09-17 00:00:00.000000,19041.4069
2020-09-18 00:00:00.000000,18370.1588
2020-09-19 00:00:00.000000,14650.6864
2020-09-20 00:00:00.000000,12817.1404
2020-09-21 00:00:00.000000,16732.2028
2020-09-22 00:00:00.000000,15329.0344
2020-09-23 00:00:00.000000,15168.9234
2020-09-24 00:00:00.000000,14910.6874
2020-09-25 00:00:00.000000,16756.3305
2020-09-26 00:00:00.000000,15630.4933
2020-09-27 00:00:00.000000,11601.2931
2020-09-28 00:00:00.000000,62473.1609
2020-09-29 00:00:00.000000,50592.2946
2020-09-30 00:00:00.000000,34679.4572
2020-10-01 00:00:00.000000,28092.0153
2020-10-02 00:00:00.000000,24708.8816
2020-10-03 00:00:00.000000,21751.4999
2020-10-04 00:00:00.000000,17974.0159
2020-10-05 00:00:00.000000,19407.17578
2020-10-06 00:00:00.000000,39723.9168
2020-10-07 00:00:00.000000,70083.6875
2020-10-08 00:00:00.000000,46438.0499
2020-10-09 00:00:00.000000,37739.5894
2020-10-10 00:00:00.000000,23662.9036
2020-10-11 00:00:00.000000,17998.6345
2020-10-12 00:00:00.000000,18423.7598
2020-10-13 00:00:00.000000,19102.2093
2020-10-14 00:00:00.000000,14773.0796
2020-10-15 00:00:00.000000,15613.4577
2020-10-16 00:00:00.000000,16661.5535
2020-10-17 00:00:00.000000,14543.1685
2020-10-18 00:00:00.000000,12301.8534
2020-10-19 00:00:00.000000,11292.6944
2020-10-20 00:00:00.000000,18309.6041
2020-10-21 00:00:00.000000,18272.4358
2020-10-22 00:00:00.000000,18033.5726
2020-10-23 00:00:00.000000,19599.1994
2020-10-24 00:00:00.000000,17452.3349
2020-10-25 00:00:00.000000,14814.6795
2020-10-26 00:00:00.000000,15557.8946
2020-10-27 00:00:00.000000,17784.1067
2020-10-28 00:00:00.000000,16130.4303
2020-10-29 00:00:00.000000,19352.1614
2020-10-30 00:00:00.000000,18315.4575
2020-10-31 00:00:00.000000,17067.5874
2020-11-01 00:00:00.000000,12529.398
2020-11-02 00:00:00.000000,16498.5794
2020-11-03 00:00:00.000000,17457.9197
2020-11-04 00:00:00.000000,23450.133
2020-11-05 00:00:00.000000,19758.3809
2020-11-06 00:00:00.000000,18670.1187
2020-11-07 00:00:00.000000,25656.6006
2020-11-08 00:00:00.000000,16225.4469
2020-11-09 00:00:00.000000,12793.3323
2020-11-10 00:00:00.000000,12931.3187
2020-11-11 00:00:00.000000,12354.5945
2020-11-12 00:00:00.000000,10682.5708
2020-11-13 00:00:00.000000,18069.6
2020-11-14 00:00:00.000000,17274.1695
2020-11-15 00:00:00.000000,11097.3041
2020-11-16 00:00:00.000000,11264.9323
2020-11-17 00:00:00.000000,38309.4053
2020-11-18 00:00:00.000000,40037.8916
2020-11-19 00:00:00.000000,28014.5499
2020-11-20 00:00:00.000000,18201.6113
2020-11-21 00:00:00.000000,14759.5344
2020-11-22 00:00:00.000000,12423.042
2020-11-23 00:00:00.000000,18865.9591
2020-11-24 00:00:00.000000,15017.2117
2020-11-25 00:00:00.000000,14538.2468
2020-11-26 00:00:00.000000,13800.7925
2020-11-27 00:00:00.000000,22005.3348
2020-11-28 00:00:00.000000,18523.088
2020-11-29 00:00:00.000000,14918.1606
2020-11-30 00:00:00.000000,15417.7982
2020-12-01 00:00:00.000000,18951.5316
2020-12-02 00:00:00.000000,16828.1918
2020-12-03 00:00:00.000000,18022.918
2020-12-04 00:00:00.000000,21064.7775
2020-12-05 00:00:00.000000,15379.2767
2020-12-06 00:00:00.000000,13634.4408
2020-12-07 00:00:00.000000,14884.1274
2020-12-08 00:00:00.000000,13929.3984
2020-12-09 00:00:00.000000,13956.532
2020-12-10 00:00:00.000000,16956.215
2020-12-11 00:00:00.000000,19693.6296
2020-12-12 00:00:00.000000,16567.3765
2020-12-13 00:00:00.000000,11294.4002
2020-12-14 00:00:00.000000,15855.9798
2020-12-15 00:00:00.000000,12594.4296
2020-12-16 00:00:00.000000,10782.0878
2020-12-17 00:00:00.000000,12165.8772
2020-12-18 00:00:00.000000,13705.1297
2020-12-19 00:00:00.000000,15781.2941
2020-12-20 00:00:00.000000,11664.5209
2020-12-21 00:00:00.000000,17241.1656
2020-12-22 00:00:00.000000,15990.6428
2020-12-23 00:00:00.000000,36091.6341
2020-12-24 00:00:00.000000,29006.137
2020-12-25 00:00:00.000000,20368.5688
2020-12-26 00:00:00.000000,32187.2028
2020-12-27 00:00:00.000000,18719.6013
2020-12-28 00:00:00.000000,22461.0326
2020-12-29 00:00:00.000000,23718.8298
2020-12-30 00:00:00.000000,17438.3634
2020-12-31 00:00:00.000000,13424.2447
2021-01-01 00:00:00.000000,11265.6528
2021-01-02 00:00:00.000000,10605.7784
2021-01-03 00:00:00.000000,14797.5555
2021-01-04 00:00:00.000000,13987.3377
2021-01-05 00:00:00.000000,33568.2964
2021-01-06 00:00:00.000000,27972.7753
2021-01-07 00:00:00.000000,23367.2819
2021-01-08 00:00:00.000000,19713.3876
2021-01-09 00:00:00.000000,16018.0637
2021-01-10 00:00:00.000000,12744.3206
2021-01-11 00:00:00.000000,12015.0921
2021-01-12 00:00:00.000000,9043.3149
2021-01-13 00:00:00.000000,5577.1837
2021-01-14 00:00:00.000000,6994.308
2021-01-15 00:00:00.000000,7336.4003
2021-01-16 00:00:00.000000,6202.285133
2021-01-17 00:00:00.000000,5943.2343
2021-01-18 00:00:00.000000,9888.6632
2021-01-19 00:00:00.000000,7953.8175
2021-01-20 00:00:00.000000,7017.6113
2021-01-21 00:00:00.000000,5658.88
2021-01-22 00:00:00.000000,4814.7915
2021-01-23 00:00:00.000000,3574.1116
2021-01-24 00:00:00.000000,3477.5507
2021-01-25 00:00:00.000000,3404.5961
2021-01-26 00:00:00.000000,3389.031
2021-01-27 00:00:00.000000,4503.8502
2021-01-28 00:00:00.000000,6371.0746
2021-01-29 00:00:00.000000,4147.1682
2021-01-30 00:00:00.000000,4193.4217
2021-01-31 00:00:00.000000,2738.3123
2021-02-01 00:00:00.000000,3561.2864
2021-02-02 00:00:00.000000,4102.5766
2021-02-03 00:00:00.000000,5015.5108
2021-02-04 00:00:00.000000,5344.9719
2021-02-05 00:00:00.000000,6838.28
2021-02-06 00:00:00.000000,5325.0248
